Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"URGN","UROGEN PHARMA LTD","Health Care","Equity","148,409.69","0.00","148,409.69","9,581.00","15.49","United States","NASDAQ","USD","1.00","USD","-"
"WEAV","WEAVE COMMUNICATIONS INC","Information Technology","Equity","147,374.64","0.00","147,374.64","13,608.00","10.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABSI","ABSCI CORP","Health Care","Equity","146,274.48","0.00","146,274.48","35,332.00","4.14","United States","NASDAQ","USD","1.00","USD","-"
"ACTG","ACACIA RESEARCH CORP","Financials","Equity","146,502.57","0.00","146,502.57","31,371.00","4.67","United States","NASDAQ","USD","1.00","USD","-"
"ADPT","ADAPTIVE BIOTECHNOLOGIES CORP","Health Care","Equity","147,268.96","0.00","147,268.96","29,872.00","4.93","United States","NASDAQ","USD","1.00","USD","-"
"BFST","BUSINESS FIRST BANCSHARES INC","Financials","Equity","146,655.63","0.00","146,655.63","6,633.00","22.11","United States","NASDAQ","USD","1.00","USD","-"
"CLW","CLEARWATER PAPER CORP","Materials","Equity","147,228.92","0.00","147,228.92","4,588.00","32.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOD","GLADSTONE COMMERCIAL REIT CORP","Real Estate","Equity","146,556.00","0.00","146,556.00","9,936.00","14.75","United States","NASDAQ","USD","1.00","USD","-"
"GSBC","GREAT SOUTHERN BANCORP INC","Financials","Equity","146,592.53","0.00","146,592.53","2,621.00","55.93","United States","NASDAQ","USD","1.00","USD","-"
"GLRE","GREENLIGHT CAPITAL LTD CLASS A","Financials","Equity","147,189.08","0.00","147,189.08","11,117.00","13.24","United States","NASDAQ","USD","1.00","USD","-"
"HTLD","HEARTLAND EXPRESS INC","Industrials","Equity","146,868.48","0.00","146,868.48","12,078.00","12.16","United States","NASDAQ","USD","1.00","USD","-"
"LPRO","OPEN LENDING CORP","Financials","Equity","146,274.40","0.00","146,274.40","27,290.00","5.36","United States","NASDAQ","USD","1.00","USD","-"
"TRC","TEJON RANCH","Real Estate","Equity","146,615.68","0.00","146,615.68","8,564.00","17.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACEL","ACCEL ENTERTAINMENT INC CLASS A","Consumer Discretionary","Equity","145,540.85","0.00","145,540.85","13,195.00","11.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALT","ALTIMMUNE INC","Health Care","Equity","144,998.88","0.00","144,998.88","23,237.00","6.24","United States","NASDAQ","USD","1.00","USD","-"
